"year","President","party","tough","polite","vague","tough_pct","polite_pct","vague_pct","decade","tough_z","polite_z","vague_z"
1790,"Washington","Independent",3,2,2,6,4,4,1790,0.121798834832054,0.379729447787236,0.941294894647675
1790,"Washington","Independent",4,1,3,6.3391442155309,1.58478605388273,4.75435816164818,1790,0.25039470677713,-0.786052277434656,1.44097117499347
1791,"Washington","Independent",5,5,4,4.67289719626168,4.67289719626168,3.73831775700935,1790,-0.381408751770384,0.704525209925001,0.767960242147293
1792,"Washington","Independent",1,0,1,1.04275286757039,0,1.04275286757039,1790,-1.75787797594322,-1.5510009160317,-1.01754418514325
1793,"Washington","Independent",9,1,1,9.97782705099778,1.10864745011086,1.10864745011086,1790,1.63010154100973,-1.01587609235683,-0.973896536621985
1794,"Washington","Independent",6,2,2,4.49101796407186,1.49700598802395,1.49700598802395,1790,-0.450373273000793,-0.828422187057546,-0.716653280658586
1795,"Washington","Independent",8,6,1,8.44772967265047,6.33579725448786,1.05596620908131,1790,1.04992296942057,1.50717811852839,-1.0087918527993
1796,"Washington","Independent",12,5,4,8.79120879120879,3.66300366300366,2.93040293040293,1790,1.18016253926489,0.21706718270359,0.232808777075471
1797,"Adams","Federalist",5,2,2,5.08130081300813,2.03252032520325,2.03252032520325,1790,-0.226551269920613,-0.569938739294435,-0.361936084401363
1798,"Adams","Federalist",5,5,5,4.79386385426654,4.79386385426654,4.79386385426654,1790,-0.335540911040549,0.76291370982992,1.46713919244674
1799,"Adams","Federalist",2,4,1,2.82885431400283,5.65770862800566,1.41442715700141,1790,-1.08062840962882,1.17987654340102,-0.771352341686164
1800,"Adams","Federalist",1,2,3,1.5600624024961,3.1201248049922,4.6801872074883,1800,-1.45205330685496,-0.205112205050723,0.307163154760462
1801,"Jefferson","Democratic-Republican",12,3,12,7.94176042356056,1.98544010589014,7.94176042356056,1800,0.918582814080646,-0.880828169106231,1.69981585691138
1802,"Jefferson","Democratic-Republican",4,3,7,3.83877159309021,2.87907869481766,6.71785028790787,1800,-0.605571649700441,-0.348657548393517,1.17722088672726
1803,"Jefferson","Democratic-Republican",4,8,2,3.65965233302836,7.31930466605673,1.82982616651418,1800,-0.672109832243125,2.29554094582646,-0.909906873364995
1804,"Jefferson","Democratic-Republican",8,4,2,8.29875518672199,4.149377593361,2.0746887966805,1800,1.05119715555245,0.40781801309694,-0.805353462797208
1805,"Jefferson","Democratic-Republican",4,3,7,2.92611558156547,2.1945866861741,5.12070226773958,1800,-0.944599804866687,-0.756279311403885,0.495257809810365
1806,"Jefferson","Democratic-Republican",9,4,5,6.64206642066421,2.9520295202952,3.690036900369,1800,0.435780033494744,-0.305214610099546,-0.115619168184238
1807,"Jefferson","Democratic-Republican",11,4,4,9.70017636684303,3.52733686067019,3.52733686067019,1800,1.5717889571816,0.0373866027636685,-0.185090136614459
1808,"Jefferson","Democratic-Republican",8,2,5,6.44122383252818,1.61030595813205,4.02576489533011,1800,0.361172195191226,-1.10422426539897,0.0277326649330774
1809,"Madison","Democratic-Republican",3,4,0,3.68098159509202,4.9079754601227,0,1800,-0.66418656183545,0.859570547765807,-1.69122073218164
1810,"Madison","Democratic-Republican",8,2,2,6.95047784535187,1.73761946133797,1.73761946133797,1810,-0.0342245293837316,-0.630657454490673,-0.553498843910411
1811,"Madison","Democratic-Republican",6,7,3,5.57103064066852,6.49953574744661,2.78551532033426,1810,-0.489967748282571,2.34237828751613,0.849039871301837
1812,"Madison","Democratic-Republican",12,5,2,8.05910006715917,3.35795836131632,1.34318334452653,1810,0.332043246718089,0.380978444664596,-1.081425278352
1813,"Madison","Democratic-Republican",16,4,3,10.5960264900662,2.64900662251656,1.98675496688742,1810,1.17019566760076,-0.0616456444984621,-0.220047586452665
1814,"Madison","Democratic-Republican",10,2,3,9.765625,1.953125,2.9296875,1810,0.895846749587586,-0.496109589608691,1.04200471785769
1815,"Madison","Democratic-Republican",17,6,3,11.1548556430446,3.93700787401575,1.96850393700787,1810,1.35482223114608,0.742499898258614,-0.244475372648015
1816,"Madison","Democratic-Republican",8,3,3,5.09229789942712,1.90961171228517,1.90961171228517,1810,-0.648131975043034,-0.523276501384483,-0.323298687474061
1817,"Monroe","Democratic-Republican",13,3,7,6.40078778926637,1.47710487444609,3.4465780403742,1810,-0.215831708481676,-0.793306088277686,1.73382823083176
1818,"Monroe","Democratic-Republican",12,6,2,5.98802395209581,2.9940119760479,0.998003992015968,1810,-0.352201059304589,0.153753616136291,-1.54342481908086
1819,"Monroe","Democratic-Republican",2,2,5,0.962463907603465,0.962463907603465,2.40615976900866,1810,-2.01255087455692,-1.11461496831564,0.341297767926732
1820,"Monroe","Democratic-Republican",9,3,3,3.47088314693405,1.15696104897802,1.15696104897802,1820,-0.703510644629835,-1.17430390245712,-0.796268739712817
1821,"Monroe","Democratic-Republican",9,3,3,3.47088314693405,1.15696104897802,1.15696104897802,1820,-0.703510644629835,-1.17430390245712,-0.796268739712817
1822,"Monroe","Democratic-Republican",16,5,3,7.39713361072584,2.31160425335183,1.3869625520111,1820,1.66360695312889,0.320017797147248,-0.238489554123872
1823,"Monroe","Democratic-Republican",13,5,7,4.47042640990371,1.71939477303989,2.40715268225585,1820,-0.10089079922862,-0.446410718423052,2.23558479969441
1824,"Monroe","Democratic-Republican",26,8,4,6.86015831134565,2.11081794195251,1.05540897097625,1820,1.33986711726089,0.0601632022637643,-1.04254380581333
1825,"Adams","Democratic-Republican",24,7,6,5.76784426820476,1.68228791155972,1.44196106705119,1820,0.681316212869349,-0.494433855011035,-0.105112047789693
