"collocation","count","count_nested","length","lambda","z"
"los angeles",5,5,2,13.465548744742,6.58475865890513
"arts humanities",4,4,2,13.2649092670865,6.45553343273894
"joint chiefs",3,3,2,13.0136260556377,6.28615570665696
"mccain feingold",3,3,2,13.0136260556377,6.28615570665696
"r d",3,3,2,13.0136260556377,6.28615570665696
"god bless",16,16,2,12.9543172007806,8.25830134567956
"jack lucas",4,4,2,12.1662657606118,7.15796438453847
"senators mccain",3,3,2,11.9149825501375,6.93433657288524
"northern ireland",5,5,2,11.8560483937709,7.37860921808932
"line-item veto",3,3,2,11.4041257085649,6.95872328819671
"greenhouse gases",3,3,2,11.4041257085649,6.9587232881967
"minimum wage",12,12,2,11.2416633988796,11.0637923796555
"harry truman",3,3,2,11.0676222531625,6.90183319607512
"pursuit happiness",3,3,2,11.0676222531625,6.90183319607512
"saddam hussein",4,4,2,11.067559812676,7.07878983498577
"florida everglades",3,3,2,10.8163390436628,8.50053566569941
"churches synagogues",3,3,2,10.8162766051257,6.82993881386721
"sides aisle",5,5,2,10.7574048843722,9.62743170522814
"private sector",16,16,2,10.6712474976457,7.36131302933701
"persian gulf",5,5,2,10.6320856231427,7.01135718285694
"preexisting conditions",3,3,2,10.615574688933,6.75786209228244
"poison gas",3,3,2,10.3054822011156,8.86163345287354
"fiscal discipline",4,4,2,10.2202619522888,9.42997779990498
"drinking water",3,3,2,10.1801629496346,6.56662737194979
"richard dean",3,3,2,10.1801629496346,6.56662737194978
"21st century",50,50,2,10.0927117294664,11.9865270308917
"oklahoma city",4,4,2,10.0456587642029,6.62066868770769
"teen pregnancy",4,4,2,9.96891630230258,9.45721152289497
"eastern europe",6,6,2,9.96841662239962,6.71283824685274
"mass destruction",5,5,2,9.91004457959949,10.639590777032
"ahead schedule",4,4,2,9.897176299098,6.53849819575215
"white house",16,16,2,9.85369384444436,11.1474112909216
"usa accounts",3,3,2,9.7946253575937,9.39991245258916
"desert storm",4,4,2,9.76821438416027,9.4400330552016
"generation's historic",4,4,2,9.76790210372991,6.46489841646692
"medicare medicaid",6,6,2,9.66146766648241,6.52621153188121
"perfect union",7,7,2,9.60025441744972,6.52590409241457
"empowerment zones",5,5,2,9.57354111932323,11.0304942255361
"cents dollar",3,3,2,9.51693117855953,8.93606451335714
"general mccaffrey",3,3,2,9.51693117855953,8.93606451335714
"pell grant",3,3,2,9.51693117855953,8.93606451335714
"republicans democrats",8,8,2,9.50607420111863,12.6790182117472
"illegal aliens",4,4,2,9.4579970075714,9.35448494493236
"$ billion",42,42,2,9.38738152844608,14.0637693694553
"campaign finance",9,9,2,9.23250057391508,12.9451584450348
"obey law",4,4,2,9.22098353207466,6.13731824259157
"russia ukraine",3,3,2,9.20671380392048,8.8356930885977
"credit crunch",3,3,2,9.20627657035272,6.03098646098697
"distinguished guests",3,3,2,9.12161844191538,9.85229454097271
"prescription drugs",3,3,2,9.12105628446526,5.9798161846779
